Holiday,Date,Japan,China,Northeast Asia,Southeast Asia,Americas,Europe,Oceania,Middle East,Others,Total
10,31,533145,306714,175793,382164,212157,126121,130973,2473,19981,1889521
8,28,504811,286653,166785,319909,158753,108525,108018,2181,16487,1672122
10,31,510166,259045,117745,268872,167405,113995,88175,1734,13115,1540252
8,30,370899,149151,54578,142778,137782,94824,74530,650,9831,1035023
11,31,333036,89291,48551,146849,167822,107387,76301,2779,11661,983677
10,30,354448,137815,89004,208497,221708,136709,76535,3681,13061,1241458
9,31,479191,248729,157411,313037,251676,175402,105933,3225,15656,1750260
11,31,600727,355718,198400,345439,292448,185120,110914,2722,18757,2110245
11,30,497877,306863,141560,271329,207223,161407,83287,2847,17023,1689416
9,31,518257,332403,166615,335087,203722,156844,96317,3837,17347,1830429
10,30,492330,316864,171051,392356,191481,124684,110067,3606,14649,1817088
9,31,473493,292653,180661,408291,221818,109872,119484,5898,15452,1827622
13,31,484780,317936,210708,431926,234538,126416,138507,4483,16808,1966102
9,29,503761,308130,167670,335232,191173,122520,126614,4794,13919,1773813
9,31,502530,288033,152619,292817,203974,128361,94731,5631,14934,1683630
9,30,438828,339442,174326,327946,211778,135504,91735,4531,12923,1737013
12,31,472143,323923,172104,364366,244075,158531,91699,4670,12446,1843957
8,30,490131,342712,202830,346320,271379,164673,88423,4063,12502,1923033
9,31,557835,437230,226043,381612,288678,198409,109912,4698,12038,2216455
9,31,617580,500366,234616,433397,303323,194403,113394,4377,13292,2414748
11,30,538784,378749,172437,325016,230476,173494,86643,3999,11297,1920895
10,31,585203,419474,204444,372781,236332,167716,90892,4085,13163,2094090
8,30,561397,369365,207491,440703,196360,123557,103410,3295,15244,2020822
8,31,526260,335004,209329,465303,227345,122487,119691,3606,17483,2026508
10,31,556965,444650,234224,366564,235546,146511,140655,5020,17724,2147859
11,28,540023,390047,250558,354490,196574,127512,116655,4147,14764,1994770
9,31,590743,382265,193943,358297,225380,134068,93386,3509,13908,1995499
10,30,486548,448620,205044,376593,225282,156516,87720,3490,11709,2001522
10,31,455379,453956,212276,377747,259369,173276,84359,13386,11519,2041267
9,30,478772,463986,225363,408152,284279,185843,83032,16774,12300,2158501
10,31,525985,502617,264043,450528,302186,206232,94683,18336,13907,2378517
9,31,581609,566293,273034,483642,307209,207545,96998,17142,17377,2550849
9,30,513724,435622,190783,350255,231894,181415,76585,15327,14852,2010457
11,31,547335,489652,219683,420157,229641,184793,89406,15880,26823,2223370
8,30,511714,401496,201718,434542,199216,134034,98717,14455,16351,2012243
9,31,508955,357283,223919,488774,223092,132906,110827,13647,16418,2075821
10,31,491343,428984,249043,531719,233311,149866,125625,15949,22405,2248245
8,28,497658,440842,256742,500895,187381,139030,106392,17480,19354,2165774
9,31,537833,400565,199555,458675,216387,148844,88601,16222,16512,2083194
10,30,471492,454319,211042,442551,235275,173734,93838,16506,13661,2112418
9,31,502239,477010,209666,429031,265088,194770,93861,18706,13407,2203778
9,30,503209,471412,223019,420439,282640,195783,91625,17136,13604,2218867
11,31,528370,547978,259832,481565,294459,219644,109586,19782,16717,2477933
9,31,616243,623619,286014,506934,320039,219555,115330,20265,17388,2725387
9,30,526761,545190,206916,394672,256098,211242,88924,19137,15472,2264412
12,31,552675,589500,252550,448917,257119,191755,98096,18665,16834,2426111
8,30,523966,522934,232482,522017,226644,157281,112384,21290,20681,2339679
11,31,514401,483493,247314,569255,252440,152102,134838,20256,21701,2395800
9,31,542969,593154,256502,603081,254647,174785,142918,21951,27018,2617025
9,28,532195,586306,254726,510000,212673,149937,117011,20176,21257,2404281
10,31,543712,604399,224221,539144,254563,172851,106178,21428,20447,2486943
9,30,487446,612065,218229,478717,249947,188175,104219,20254,18326,2377378
9,31,505328,658379,222487,483066,279098,204510,96718,20860,17298,2487744
10,30,496561,641271,232326,465481,291681,215535,104710,20799,16742,2485106
10,31,541152,722407,278590,523230,316235,239730,128908,22972,18531,2791755
9,31,624874,780880,292104,545568,329264,240429,135381,21812,19341,2989653
13,30,546604,641884,219522,434510,268834,220184,103993,23613,15387,2474531
9,31,590117,680589,229990,473146,265418,218290,108365,23661,18903,2608479
8,30,550286,601863,227195,545355,229929,178473,118676,22607,22039,2496423
11,31,521189,547671,252407,616934,249714,174262,129754,20378,21598,2533907
9,31,546792,673082,269179,640910,267286,194207,139102,24838,27138,2782534
11,29,559416,611600,273242,592811,232594,173379,129757,24174,24115,2621088
10,31,540414,555486,233133,548766,262896,182656,103766,22486,20200,2469803
8,30,494383,569877,221741,521083,251105,201068,100068,23988,18190,2401503
11,31,528793,587770,251746,506952,284692,221851,105764,25680,17449,2530697
10,30,512519,505851,258091,489485,301583,239648,107492,25357,14253,2454279
8,31,533081,543959,287496,509367,318672,269656,127146,28134,19883,2637394
11,31,591636,548424,296515,555399,344313,271402,132412,27751,19657,2787509
9,30,497892,475501,207696,367009,259163,223932,94745,21849,14925,2162712
9,31,558479,534520,234553,465691,255397,218879,107175,29883,19328,2423905
10,30,483185,422103,199666,436920,232299,173402,106560,26999,19671,2100805
9,31,508637,372665,232938,473844,265602,170955,125741,22451,18318,2191151
12,31,513893,484825,264949,516682,288853,174651,131582,22103,19334,2416872
8,28,549674,464622,237226,479946,225569,154758,115593,20736,17072,2265196
9,31,592846,423304,209000,444041,253616,159339,96496,25149,15079,2218870
8,30,534270,464436,248212,446550,249597,169529,97918,26349,14111,2250972
11,31,459751,460213,216234,410072,281327,181457,91484,28089,13500,2142127
8,30,411084,435228,208378,387869,293132,197876,92795,28258,14177,2068797
8,31,543683,554694,272126,473344,320504,243962,118047,31456,15801,2573617
10,31,610363,649702,301641,511369,347139,255172,127090,33115,16505,2852096
8,30,569093,474543,202470,341204,278003,222094,94333,29357,13896,2224993
10,31,553814,499202,237385,392261,277016,208407,100410,32432,17519,2318446
9,30,526182,443663,227189,456397,251141,182456,111165,31933,18645,2248771
9,31,551024,479255,264293,554640,281077,182316,136343,29955,20792,2499695
11,31,571452,531513,280516,619553,296358,198612,143026,36169,23879,2701078
9,28,556871,562216,271310,545977,250372,168305,124748,32928,19113,2531840
9,31,628879,579402,263055,577116,287936,196637,120384,37486,19706,2710601
8,30,529876,611607,272735,534998,286620,177109,107298,46666,18049,2584958
12,31,538851,626339,274665,497936,319894,222671,116515,51189,20514,2668574
9,30,515936,622237,266127,482241,330768,233195,117445,48716,12587,2629252
9,31,558600,715201,300795,545694,346210,259327,141584,57194,16511,2941116
9,31,643351,799047,328939,585512,361396,259806,142282,55707,17574,3193614
11,30,575197,637574,270746,505645,316325,228667,115627,49394,16358,2715533
10,31,602021,692427,288277,586433,328242,235628,122533,54709,22884,2933154
8,30,549053,578654,283512,615408,279525,184395,132377,42745,25745,2691414
8,31,499590,526171,277771,670324,294222,177395,138916,42011,21984,2648384
10,31,535497,624168,293664,759611,323839,206457,154728,53557,26613,2978134
11,28,530207,573581,277098,694450,259393,173006,138454,43992,19784,2709965
9,31,475612,572116,249352,647099,305057,193037,123644,41820,18828,2626565
9,30,326631,632133,274095,620803,306618,212001,110344,45388,15362,2543375
11,31,373696,669430,279730,619285,342400,254960,121083,55293,15077,2730954
9,30,418153,680711,312157,604906,342410,259889,126014,51250,14009,2809499
10,31,488193,730903,347555,698960,379112,299494,159231,60706,20383,3184537
9,31,566668,777010,371386,742285,388495,295372,164404,59902,21027,3386549
10,30,527277,639273,289851,598874,315447,254928,136700,57035,17513,2836898
11,31,556178,662688,320884,672472,320465,258027,152653,62299,24461,3030127
8,30,541149,545772,314911,650210,288997,197783,157628,50313,27574,2774337
9,31,526950,523171,330766,761499,322772,201852,184527,49634,25734,2926905
11,31,509734,601503,364070,847277,349153,227681,199520,53616,27343,3179897
8,29,553710,565915,339255,818711,281611,205050,168317,52849,23420,3008838
10,31,604090,558672,301720,755191,295078,221504,142011,53216,20261,2951743
10,30,545215,614312,328298,752287,314323,240807,141873,53727,16776,3007618
9,31,552600,648565,303152,679050,356851,273629,135367,59873,12387,3021474
10,30,550700,663727,324707,685393,357908,293464,157539,64345,12887,3110670
9,31,598261,788994,365622,766194,374034,322951,174783,67267,16791,3474897
9,31,710329,849610,407401,849447,381739,319327,187920,65078,16842,3787693
10,30,609054,694725,311719,675738,334039,292412,155162,63278,15992,3152119
10,31,548554,720137,360398,790743,335211,280706,168793,61058,19822,3285422
8,30,531138,619928,332225,820199,304181,225165,175029,57435,22528,3087828
12,31,541064,581696,358647,947837,330534,234262,210545,55876,22316,3282777
9,31,551438,624847,374147,1065990,348562,263730,216465,62103,27534,3534816
9,28,563113,670080,349422,912988,282180,215492,190706,57626,22227,3263834
11,31,635389,678211,334677,892074,323611,252481,167372,60523,23409,3367747
8,30,493932,679295,307262,791108,317507,255533,149072,61021,21295,3076025
9,31,503216,676819,291559,740287,362050,277853,157883,67740,21891,3099298
11,30,503280,750930,341180,755884,373068,310538,168960,70427,21317,3295584
8,31,563698,881759,374405,831554,393082,336114,180271,72241,27020,3660144
10,31,652767,963922,425129,925751,417435,336921,191031,75589,27878,4016423
12,30,524427,838626,350772,751243,340982,307595,167327,70112,22276,3373360
10,31,492020,806652,394081,844497,340908,308090,174452,73715,25287,3459702
9,30,468805,683999,379108,854654,302881,248637,178607,64024,25646,3206361
10,31,507701,657501,401647,973072,344077,245751,212435,62481,27994,3432659
11,31,544684,739342,427073,1083789,362343,280450,222339,75422,30464,3765906
8,28,533744,731212,406175,958236,289440,245393,196136,69073,26834,3456243
10,31,578677,765436,388514,855832,318844,278687,167107,71246,26877,3451220
8,30,460834,876333,422387,819212,324602,303586,161126,68450,23914,3460444
11,31,471220,868195,424048,775838,366250,333860,157995,74815,22873,3495094
11,30,478160,896256,456408,759497,390150,359384,170932,71886,22795,3605468
8,31,535856,1061128,483471,865139,414146,386822,180708,68685,25575,4021530
11,31,623301,1179650,521000,1002195,438548,409764,191438,70063,28007,4463966
11,30,521513,981754,419777,784040,358921,359930,169141,72947,20580,3688603
10,31,545073,1020014,471937,918235,360598,368139,180922,80261,23872,3969051
10,30,509686,892375,442814,908225,315677,276913,184239,64751,22785,3617465
9,31,558700,848848,465996,1083643,362973,271319,231919,63569,24856,3911823
10,31,624981,889388,491160,1239289,372795,325608,249101,73578,26211,4292111
11,28,604140,978406,502804,1065429,310463,273485,217033,62593,23542,4037895
9,31,656757,975297,468150,995999,359149,308939,195711,69162,22329,4051493
8,30,585799,1112391,490226,955500,361103,337152,189894,73799,20689,4126553
12,31,593956,1112910,494523,914182,410472,386366,191331,82644,20909,4207293
8,30,456660,703823,270122,790912,398632,386903,180858,68013,17219,3273142
8,31,525573,708447,275343,927056,435310,440290,198232,74257,19454,3603962
11,31,696747,1003511,400350,1098964,459020,457887,206774,83199,23588,4430040
10,30,590456,969020,427056,854235,369202,393962,195975,71314,19012,3890232
10,31,678582,1093892,473393,992950,392044,411849,212283,80396,23314,4358703
9,30,644715,951000,477676,1048616,337955,303880,221058,66030,22466,4073396
9,31,697663,917183,501328,1252938,382140,281000,259298,59407,24542,4375499
11,31,796350,1042952,538305,1393809,403852,333439,278468,73531,26071,4886777
11,29,785835,1040173,526242,1257736,345932,305303,249242,74536,24112,4609111
9,31,776551,1013959,494171,1085291,356893,303814,206575,71393,21723,4330370
10,30,669034,1159911,518259,1068282,365463,353783,203558,79470,22207,4439967
11,31,586657,1180303,521371,1004739,415306,389000,207198,84934,21127,4410635
9,30,649538,1215348,563275,1024156,440272,430273,218307,82372,20145,4643686
10,31,800690,1345467,593173,1177516,471903,483009,236401,88367,26441,5222967
9,31,917017,1368990,614684,1229625,478223,470906,237928,87105,26374,5430852
11,30,805891,1131930,530181,1052957,406536,424633,224636,81329,22067,4680160
11,31,860216,1165133,578596,1134024,407574,419807,242459,84333,27423,4919565
8,30,817233,987540,559593,1185118,360388,321216,253837,75601,32313,4592839
9,31,864800,984165,615431,1384959,406098,325066,296751,70822,37185,4985277
11,31,983760,1098069,649112,1521656,430244,366375,319358,83165,40123,5491862
8,28,955983,1059552,593116,1420950,355141,342831,278800,80408,38609,5125390
9,31,978536,849023,562702,1331500,368414,376815,246884,85465,37508,4836847
10,30,913453,708393,607172,1311060,386700,425783,247630,82428,32771,4715390
11,31,911117,747542,573326,1232008,444426,452745,236290,82786,32210,4712450
9,30,919794,781114,568881,1248965,479660,487694,244796,76494,34515,4841913
10,31,1018851,866850,588151,1359493,524106,545027,265548,85820,37072,5290918
9,31,1124938,983075,635868,1464629,523647,536655,272800,87863,35653,5665128
9,30,981549,890398,526854,1280485,431369,510911,257849,84338,34670,4998423
15,31,1009070,931325,629347,1348553,443613,480017,259640,82783,34913,5219261
8,30,1045332,820704,606832,1483442,386132,375630,283229,68685,42958,5112944
11,31,1091728,891394,631702,1652975,425961,374531,333479,64963,43313,5510046
9,31,1208025,929377,658057,1839345,437377,411186,335506,76650,46078,5941601
10,28,1125190,922076,588214,1622857,392030,383971,297490,74326,39532,5445686
10,31,1199340,966450,579977,1652250,428241,419727,253908,77568,41855,5619316
9,30,1077893,971179,605937,1538496,426528,457799,240336,80652,33292,5432112
10,31,1067647,1000090,589365,1416025,469260,505275,233611,80252,30804,5392329
11,30,1075738,999542,596906,1454469,489682,549671,247257,80219,33486,5526970
9,31,1087374,1057456,600790,1511576,511486,598107,255302,90588,38207,5750886
9,31,1203835,1168143,641706,1594076,502061,607340,266601,91066,38167,6112995
13,30,969057,1052593,569132,1409806,428092,563945,234920,83092,35349,5345986
10,31,1101881,1101707,640531,1549366,458447,542421,234881,85011,41176,5755421
8,30,1104598,987142,635755,1631189,401851,414335,202364,69089,40490,5486813
11,31,1208434,981452,646501,1837485,430686,404891,249627,63139,43817,5866032
